RECOMMANDATION,VID
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",275
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0005', 'OFF0006', 'OFF0009']}",276
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0023', 'OFF0024', 'OFF0006']}",277
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0004']}",278
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0004', 'OFF0005', 'OFF0006']}",279
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",280
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0008']}",281
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0016']}",282
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0008', 'OFF0001', 'OFF0005']}",283
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0006']}",284
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0010', 'OFF0001', 'OFF0006']}",285
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0008']}",286
"{'Offer': ['OFF0011', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",287
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",288
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",289
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",290
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0008']}",291
"{'Offer': ['OFF0027', 'OFF0020', 'OFF0026', 'OFF0009', 'OFF0005']}",292
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",293
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",294
"{'Offer': ['OFF0016', 'OFF0036', 'OFF0019', 'OFF0020', 'OFF0013']}",295
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",296
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",297
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",298
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0022', 'OFF0023', 'OFF0024']}",299
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",300
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0024', 'OFF0006', 'OFF0009']}",301
"{'Offer': ['OFF0010', 'OFF0004', 'OFF0008', 'OFF0001', 'OFF0005']}",302
"{'Offer': ['OFF0028', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",303
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0008']}",304
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0009']}",305
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0004']}",306
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",307
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",308
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",309
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",310
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0017', 'OFF0019']}",311
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0020', 'OFF0006', 'OFF0004']}",312
"{'Offer': ['OFF0020', 'OFF0005', 'OFF0023', 'OFF0024', 'OFF0022']}",313
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0006', 'OFF0009', 'OFF0008']}",314
"{'Offer': ['OFF0007', 'OFF0028', 'OFF0006', 'OFF0009', 'OFF0022']}",315
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0004']}",316
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",317
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0008']}",318
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",319
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",320
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",321
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",322
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0013', 'OFF0015']}",323
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0024', 'OFF0022']}",324
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0005', 'OFF0006', 'OFF0004']}",325
"{'Offer': ['OFF0010', 'OFF0022', 'OFF0024', 'OFF0004', 'OFF0005']}",326
"{'Offer': ['OFF0027', 'OFF0023', 'OFF0026', 'OFF0024', 'OFF0036']}",327
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0006', 'OFF0009', 'OFF0008']}",328
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0009']}",329
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",330
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",331
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0004']}",332
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",333
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",334
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",335
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0005', 'OFF0006', 'OFF0009']}",336
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0009']}",337
"{'Offer': ['OFF0020', 'OFF0005', 'OFF0023', 'OFF0024', 'OFF0022']}",338
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",339
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0001']}",340
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",341
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",342
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0001', 'OFF0006', 'OFF0008']}",343
"{'Offer': ['OFF0007', 'OFF0036', 'OFF0006', 'OFF0009', 'OFF0022']}",344
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",345
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0005', 'OFF0006']}",346
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0022', 'OFF0024', 'OFF0005']}",347
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",348
"{'Offer': ['OFF0016', 'OFF0004', 'OFF0005', 'OFF0010', 'OFF0008']}",349
"{'Offer': ['OFF0007', 'OFF0008', 'OFF0036', 'OFF0005', 'OFF0006']}",350
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",351
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",352
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0004']}",353
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",354
"{'Offer': ['OFF0016', 'OFF0036', 'OFF0019', 'OFF0017', 'OFF0004']}",355
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0036', 'OFF0024', 'OFF0022']}",356
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",357
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",358
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",359
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",360
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",361
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",362
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0008']}",363
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",364
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0001']}",365
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",366
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0005', 'OFF0008', 'OFF0001']}",367
"{'Offer': ['OFF0036', 'OFF0020', 'OFF0016', 'OFF0004', 'OFF0005']}",368
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0016', 'OFF0022']}",369
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0001']}",370
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",371
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0022']}",372
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0019', 'OFF0005', 'OFF0006']}",373
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",374
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0013']}",375
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0008', 'OFF0001', 'OFF0005']}",376
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0027', 'OFF0006', 'OFF0004']}",377
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0006', 'OFF0001', 'OFF0008']}",378
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",379
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",380
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",381
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0020', 'OFF0006', 'OFF0004']}",382
"{'Offer': ['OFF0020', 'OFF0036', 'OFF0023', 'OFF0024', 'OFF0022']}",383
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",384
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",385
"{'Offer': ['OFF0005', 'OFF0006', 'OFF0001', 'OFF0007', 'OFF0004']}",386
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",387
"{'Offer': ['OFF0034', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",388
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0009']}",389
"{'Offer': ['OFF0034', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0020']}",390
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",391
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",392
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0024', 'OFF0006']}",393
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0005']}",394
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",395
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0008']}",396
"{'Offer': ['OFF0020', 'OFF0007', 'OFF0023', 'OFF0024', 'OFF0022']}",397
"{'Offer': ['OFF0016', 'OFF0005', 'OFF0006', 'OFF0008', 'OFF0009']}",398
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0026', 'OFF0024']}",399
"{'Offer': ['OFF0020', 'OFF0016', 'OFF0004', 'OFF0005', 'OFF0009']}",400
"{'Offer': ['OFF0007', 'OFF0036', 'OFF0022', 'OFF0024', 'OFF0005']}",401
"{'Offer': ['OFF0016', 'OFF0010', 'OFF0008', 'OFF0001', 'OFF0007']}",402
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",403
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0006']}",404
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",405
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0028']}",406
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0009']}",407
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",408
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0020', 'OFF0024', 'OFF0005']}",409
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",410
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0009']}",411
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0022', 'OFF0005', 'OFF0023']}",412
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0009']}",413
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0022']}",414
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",415
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",416
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0022']}",417
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",418
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0007']}",419
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",420
"{'Offer': ['OFF0031', 'OFF0005', 'OFF0008', 'OFF0001', 'OFF0007']}",421
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0022', 'OFF0023', 'OFF0024']}",422
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0001']}",423
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0024', 'OFF0022']}",424
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0006']}",425
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",426
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",427
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",428
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0001', 'OFF0022', 'OFF0006']}",429
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0024', 'OFF0022', 'OFF0026']}",430
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0005', 'OFF0004', 'OFF0008']}",431
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0010', 'OFF0005', 'OFF0006']}",432
"{'Offer': ['OFF0036', 'OFF0016', 'OFF0022', 'OFF0008', 'OFF0023']}",433
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0009', 'OFF0005', 'OFF0006']}",434
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",435
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0008']}",436
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0022', 'OFF0024', 'OFF0005']}",437
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",438
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0006', 'OFF0009', 'OFF0008']}",439
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0027', 'OFF0005', 'OFF0013']}",440
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0009']}",441
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0004', 'OFF0013']}",442
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",443
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0001']}",444
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",445
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0010']}",446
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0009']}",447
"{'Offer': ['OFF0020', 'OFF0013', 'OFF0023', 'OFF0024', 'OFF0007']}",448
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",449
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0006', 'OFF0001', 'OFF0008']}",450
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0026', 'OFF0024']}",451
"{'Offer': ['OFF0031', 'OFF0024', 'OFF0022', 'OFF0023', 'OFF0025']}",452
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",453
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",454
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",455
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0008']}",456
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0027', 'OFF0006']}",457
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",458
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",459
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0005']}",460
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",461
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0013', 'OFF0008']}",462
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",463
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",464
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",465
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0028']}",466
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",467
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0027', 'OFF0026', 'OFF0009']}",468
"{'Offer': ['OFF0020', 'OFF0007', 'OFF0023', 'OFF0005', 'OFF0008']}",469
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0022']}",470
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",471
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",472
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",473
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",474
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0009', 'OFF0004', 'OFF0005']}",475
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0005', 'OFF0024', 'OFF0006']}",476
"{'Offer': ['OFF0027', 'OFF0023', 'OFF0024', 'OFF0026', 'OFF0021']}",477
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0036', 'OFF0022']}",478
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0004', 'OFF0006', 'OFF0009']}",479
"{'Offer': ['OFF0005', 'OFF0013', 'OFF0020', 'OFF0001', 'OFF0006']}",480
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0010', 'OFF0001', 'OFF0006']}",481
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0027']}",482
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0037', 'OFF0038', 'OFF0034']}",483
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",484
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",485
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0022']}",486
"{'Offer': ['OFF0013', 'OFF0020', 'OFF0005', 'OFF0007', 'OFF0006']}",487
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0022', 'OFF0023', 'OFF0024']}",488
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0016']}",489
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0022', 'OFF0023', 'OFF0024']}",490
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",491
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0009']}",492
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",493
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0016', 'OFF0024', 'OFF0022']}",494
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0022', 'OFF0023', 'OFF0024']}",495
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0006']}",496
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",497
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",498
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0036']}",499
"{'Offer': ['OFF0005', 'OFF0006', 'OFF0001', 'OFF0004', 'OFF0008']}",500
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0024', 'OFF0006']}",501
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0001']}",502
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0023', 'OFF0006', 'OFF0024']}",503
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0008', 'OFF0009']}",504
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0008']}",505
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0010', 'OFF0007']}",506
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",507
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",508
"{'Offer': ['OFF0029', 'OFF0020', 'OFF0013', 'OFF0017', 'OFF0008']}",509
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",510
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",511
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0008']}",512
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",513
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",514
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0022']}",515
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",516
"{'Offer': ['OFF0031', 'OFF0010', 'OFF0002', 'OFF0027', 'OFF0008']}",517
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0022']}",518
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0022']}",519
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0008']}",520
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",521
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",522
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",523
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",524
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0008']}",525
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",526
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0010', 'OFF0024', 'OFF0006']}",527
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0031']}",528
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",529
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0022']}",530
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0004']}",531
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0009']}",532
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0023', 'OFF0024']}",533
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",534
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",535
"{'Offer': ['OFF0015', 'OFF0013', 'OFF0020', 'OFF0005', 'OFF0022']}",536
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0022']}",537
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",538
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",539
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",540
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0027', 'OFF0026', 'OFF0006']}",541
"{'Offer': ['OFF0029', 'OFF0020', 'OFF0013', 'OFF0017', 'OFF0008']}",542
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",543
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",544
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",545
"{'Offer': ['OFF0023', 'OFF0024', 'OFF0020', 'OFF0022', 'OFF0010']}",546
"{'Offer': ['OFF0027', 'OFF0023', 'OFF0024', 'OFF0026', 'OFF0020']}",547
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",548
